AssetClass,Code,Name,ISIN,Sector,Region,SpotPrice,Currency,ImpliedVol3m,DividendYield,RepoRate,VolatilityScore,Reasoning,Description,Tags
EQUITY,SX5E Index,EURO STOXX 50,EU0009658145,Indice actions,Europe (zone euro),6400,EUR,0.15,0.031,0.0,LOW,"Indice EURO STOXX 50 (Europe (zone euro)) - sous-jacent de produits structures. Niveau/vol indicatifs ~sept. 2026, a rafraichir via le service de donnees de marche.","Indice phare de la zone euro : 50 plus grandes capitalisations de 8 pays. Sous-jacent de reference dominant des autocalls et Athena distribues en Europe. Dividendes eleves (~3%), volatilite moderee.",indice;europe;zone euro;blue chip;autocall
EQUITY,CAC Index,CAC 40,FR0003500008,Indice actions,France,8300,EUR,0.16,0.03,0.0,LOW,"Indice CAC 40 (France) - sous-jacent de produits structures. Niveau/vol indicatifs ~sept. 2026, a rafraichir via le service de donnees de marche.","Indice de reference de la Bourse de Paris : 40 plus grandes valeurs francaises (luxe, banques, energie, industrie). Tres utilise en produits structures pour la clientele francaise.",indice;france;paris;blue chip
EQUITY,SX5T Index,EURO STOXX 50 Net Return,EU0009658160,Indice actions,Europe (zone euro),13800,EUR,0.15,0.0,0.0,LOW,"Indice EURO STOXX 50 Net Return (Europe (zone euro)) - sous-jacent de produits structures. Niveau/vol indicatifs ~sept. 2026, a rafraichir via le service de donnees de marche.",Version total return net de l'EURO STOXX 50 (dividendes nets reinvestis). Base des swaps sur indice et de certaines notes.,indice;total return;europe
EQUITY,SX5ED Index,EURO STOXX 50 Decrement 50 Points,DE000SLA9GX0,Indice actions,Europe (zone euro),5900,EUR,0.15,0.0,0.0,LOW,"Indice EURO STOXX 50 Decrement 50 Points (Europe (zone euro)) - sous-jacent de produits structures. Niveau/vol indicatifs ~sept. 2026, a rafraichir via le service de donnees de marche.","Indice decrement : EURO STOXX 50 total return duquel est retranche un dividende synthetique forfaitaire de 50 points d'indice par an. Support quasi systematique des Athena et Phoenix francais (barrieres plus basses, coupons plus eleves).",indice;decrement;autocall;athena;phoenix;france
EQUITY,CACD Index,CAC 40 Decrement 5%,FR0013410476,Indice actions,France,7100,EUR,0.16,0.0,0.0,LOW,"Indice CAC 40 Decrement 5% (France) - sous-jacent de produits structures. Niveau/vol indicatifs ~sept. 2026, a rafraichir via le service de donnees de marche.",Indice decrement : CAC 40 total return moins un dividende synthetique forfaitaire de 5% par an. Frequent en autocalls retail francais.,indice;decrement;cac;autocall;france
EQUITY,DAX Index,DAX 40,DE0008469008,Indice actions,Allemagne,26000,EUR,0.16,0.026,0.0,LOW,"Indice DAX 40 (Allemagne) - sous-jacent de produits structures. Niveau/vol indicatifs ~sept. 2026, a rafraichir via le service de donnees de marche.","Indice de reference allemand : 40 plus grandes valeurs (industrie, chimie, auto, tech, assurance). Indice total return par construction (dividendes reinvestis).",indice;allemagne;total return;blue chip
EQUITY,UKX Index,FTSE 100,GB0001383545,Indice actions,Royaume-Uni,10420,GBP,0.14,0.037,0.0,LOW,"Indice FTSE 100 (Royaume-Uni) - sous-jacent de produits structures. Niveau/vol indicatifs ~sept. 2026, a rafraichir via le service de donnees de marche.","Indice des 100 premieres capitalisations de Londres. Forte pondaration energie, matieres premieres, banques, pharma. Rendement du dividende eleve (~3.7%).",indice;royaume-uni;londres;dividende eleve
EQUITY,SMI Index,Swiss Market Index,CH0009980894,Indice actions,Suisse,12800,CHF,0.13,0.029,0.0,LOW,"Indice Swiss Market Index (Suisse) - sous-jacent de produits structures. Niveau/vol indicatifs ~sept. 2026, a rafraichir via le service de donnees de marche.","Indice des 20 blue chips suisses, tres concentre (Nestle, Novartis, Roche). Profil defensif, faible volatilite, devise refuge. Populaire en Barrier Reverse Convertible.",indice;suisse;defensif;brc
EQUITY,IBEX Index,IBEX 35,ES0SI0000005,Indice actions,Espagne,15600,EUR,0.17,0.038,0.0,LOW,"Indice IBEX 35 (Espagne) - sous-jacent de produits structures. Niveau/vol indicatifs ~sept. 2026, a rafraichir via le service de donnees de marche.","Indice des 35 principales valeurs espagnoles (banques, utilities, telecoms). Rendement du dividende parmi les plus eleves d'Europe.",indice;espagne;madrid;dividende eleve
EQUITY,FTSEMIB Index,FTSE MIB,IT0003465736,Indice actions,Italie,44000,EUR,0.18,0.045,0.0,MEDIUM,"Indice FTSE MIB (Italie) - sous-jacent de produits structures. Niveau/vol indicatifs ~sept. 2026, a rafraichir via le service de donnees de marche.","Indice des 40 principales valeurs italiennes, forte pondaration bancaire et energie. Volatilite et rendement superieurs a la moyenne europeenne.",indice;italie;milan;banques
