AssetClass,Code,Name,ISIN,Sector,Region,SpotPrice,Currency,ImpliedVol3m,DividendYield,RepoRate,VolatilityScore,Reasoning,Description,Tags
EQUITY,MC FP,LVMH Moët Hennessy Louis Vuitton SE,FR0000121014,Consommation Discrétionnaire / Luxe,Europe (France - CAC40),685.4,EUR,0.285,0.021,0.001,EXCELLENT_FOR_AUTOCALL,Titre phare du luxe européen. Volatilité implicite à 28.5% générant un niveau de coupon élevé (8.5%-9.5% p.a.) pour un barrière PDI 70%.,,
EQUITY,KER FP,Kering SA,FR0000121485,Consommation Discrétionnaire / Luxe,Europe (France - CAC40),245.8,EUR,0.365,0.038,0.002,EXCELLENT_FOR_AUTOCALL,Forte volatilité implicite (36.5%) dans le luxe européen. Offre le coupon le plus agressif du secteur (11.5%+ p.a.).,,
EQUITY,RMS FP,Hermès International,FR0000052292,Consommation Discrétionnaire / Luxe,Europe (France - CAC40),2150.0,EUR,0.22,0.012,0.001,MEDIUM,"Profil très défensif du luxe. Volatilité plus contenue (22%), idéal pour un coupon sécurisé autour de 6.5%-7.2% p.a.",,
EQUITY,MONC IM,Moncler SpA,IT0004969338,Consommation Discrétionnaire / Luxe,Europe (Italie - FTSE MIB),54.2,EUR,0.31,0.022,0.001,EXCELLENT_FOR_AUTOCALL,Marque de luxe italienne premium. Excellente adéquation pour pricing Autocall avec coupon ~9.2% p.a.,,
EQUITY,FP FP,TotalEnergies SE,FR0000120271,Énergie,Europe (France - CAC40),62.3,EUR,0.24,0.052,0.001,MEDIUM,Rendement dividende élevé (5.2%). Très populaire en Reverse Convertible et Phoenix.,,
EQUITY,OR FP,L'Oréal SA,FR0000120321,Consommation de Base / Cosmétique,Europe (France - CAC40),388.5,EUR,0.215,0.018,0.001,LOW,"Profil peu volatil, très prisé pour des structures à forte protection du capital.",,
EQUITY,SAN FP,Sanofi SA,FR0000120578,Santé / Pharmacie,Europe (France - CAC40),88.4,EUR,0.205,0.041,0.001,LOW,Grand titre pharmaceutique européen avec dividende stable.,,
EQUITY,ASML NA,ASML Holding NV,NL0010273215,Technologie / Semi-conducteurs,Europe (Pays-Bas - AEX),642.1,EUR,0.34,0.011,0.001,EXCELLENT_FOR_AUTOCALL,Leader européen des semi-conducteurs. Volatilité élevée offrant un pricing coupon très attractif (10%+ p.a.).,,
EQUITY,SX5E Index,Euro Stoxx 50 Index,EU0009658145,Indice Actions Broad,Europe (Eurozone),4890.2,EUR,0.165,0.032,0.001,LOW,"Indice de référence européen. Volatilité faible (16.5%), coupons plus modérés mais grande diversification.",,
EQUITY,TSLA US,Tesla Inc.,US88160R1014,Automobile / Tech,USA (Nasdaq),220.5,USD,0.48,0.0,0.001,EXCELLENT_FOR_AUTOCALL,Volatilité extrême (48%). Permet des coupons géants (>15% p.a.) mais avec risque PDI accru.,,
